FUND,SUB_FUND,SHARE_CLASS,IDENTIFIER,CURRENCY,LAST_VALIDATED_DOCUMENT,PREVIOUS_SRRI,LATEST_SRRI,WEEK_OF_CHANGE,LAST_16_WEEKS_STABLE,ANY_16_WEEKS_STABLE
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust RBA American Industrial Renaissance UCITS ETF,First Trust RBA American Industrial Renaissance UCITS ETF Class B DIST,firsttrustrbaamericanindustrialrenaissancebdistusd,USD,,7,7,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust RBA American Industrial Renaissance UCITS ETF,First Trust RBA American Industrial Renaissance UCITS ETF Class A ACCU,firsttrustrbaamericanindustrialrenaissanceaaccusd,USD,,7,7,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Bloomberg Global R&D Leaders UCITS ETF,First Trust Bloomberg Global R&D Leaders UCITS ETF Class A ACCU,firsttrustbloombergglobalrdleadersaaccusd,USD,,6,6,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Vest Nasdaq-100® Moderate Buffer UCITS ETF - March,First Trust Vest Nasdaq-100® Moderate Buffer UCITS ETF - March Class A ACCU,firsttrustvestnasdaqmoderatebuffermarchaaccusd,USD,2025-05-19,5,5,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust SMID Rising Dividend Achievers UCITS ETF,First Trust SMID Rising Dividend Achievers UCITS ETF Class B DIST,firsttrustsmidrisingdividendachieversbdistusd,USD,2025-05-19,7,6,Week 5,False,False
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Global Capital Strength ESG Leaders UCITS ETF,First Trust Global Capital Strength ESG Leaders UCITS ETF - Class A ACCU,firsttrustglobalcapitalstrengthesgleadersaaccusd,USD,2025-05-15,5,6,Week 15,False,False
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Nasdaq® Clean Edge® Green Energy UCITS ETF,First Trust Nasdaq Clean Edge Green Energy UCITS ETF Class A ACCU,firsttrustnasdaqcleanedgegreenenergyaaccusd,USD,2025-05-15,7,7,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Growth Strength UCITS ETF,First Trust Growth Strength UCITS ETF Class A ACCU,firsttrustgrowthstrengthaaccusd,USD,2025-04-07,6,6,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust US Equity Opportunities UCITS ETF,First Trust US Equity Opportunities UCITS ETF Class A ACCU,firsttrustusequityopportunitiesaaccusd,USD,2025-02-18,7,7,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust US Equity Income UCITS ETF,First Trust US Equity Income UCITS ETF Class A DIST,firsttrustusequityincomeadistusd,USD,2025-02-18,7,6,Week 3,False,False
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust US Equity Income UCITS ETF,First Trust US Equity Income UCITS ETF Class B ACCU,firsttrustusequityincomebaccusd,USD,2025-02-18,7,6,Week 3,False,False
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust United Kingdom AlphaDEX® UCITS ETF,First Trust United Kingdom AlphaDEX® UCITS ETF Class B DIST,firsttrustunitedkingdomalphadexbdistgbp,GBP,2025-02-18,6,6,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Nasdaq Cybersecurity UCITS ETF,First Trust Nasdaq Cybersecurity UCITS ETF Class A ACCU,firsttrustnasdaqcybersecurityaaccusd,USD,2025-02-18,7,6,Week 5,False,False
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust United Kingdom AlphaDEX® UCITS ETF,First Trust United Kingdom AlphaDEX® UCITS ETF Class A ACCU,firsttrustunitedkingdomalphadexaaccgbp,GBP,2025-02-18,6,6,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Nasdaq Clean Edge Smart Grid Infrastructure UCITS ETF,First Trust Nasdaq Clean Edge Smart Grid Infrastructure UCITS ETF Class A ACCU,firsttrustnasdaqcleanedgesmartgridinfrastructureaaccusd,USD,2025-02-18,6,6,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust IPOX® Europe Equity Opportunities UCITS ETF,First Trust IPOX® Europe Equity Opportunities UCITS ETF Class A ACCU,firsttrustipoxopeequityopportunitiesaacceur,EUR,2025-02-18,6,6,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Cloud Computing UCITS ETF,First Trust Cloud Computing UCITS ETF - Class A ACCU,firsttrustcloudcomputingaaccusd,USD,2025-02-18,7,7,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Dow Jones Internet UCITS ETF,First Trust Dow Jones Internet UCITS ETF Class A ACCU,firsttrustdowjonesinternetaaccusd,USD,2025-02-18,7,7,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Dow Jones International Internet UCITS ETF,First Trust Dow Jones International Internet UCITS ETF Class A ACCU,firsttrustdowjonesinternationalinternetaaccusd,USD,2025-02-18,7,7,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Indxx NextG UCITS ETF,First Trust Indxx NextG UCITS ETF Class A ACCU,firsttrustindxxnextgaaccusd,USD,2025-02-18,6,6,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Strategic Metal and Energy Equity UCITS Fund,First Trust Strategic Metal and Energy Equity UCITS Fund Class A USD ACCU,firsttruststrategicmetalandenergyequityucitsfundaaccusd,USD,2025-02-18,7,7,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Eurozone AlphaDEX® UCITS ETF,First Trust Eurozone AlphaDEX® UCITS ETF Class B DIST,firsttrustozonealphadexbdisteur,EUR,2025-02-18,6,6,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Low Duration Global Government Bond UCITS ETF,First Trust Low Duration Global Government Bond UCITS ETF Class A DIST,firsttrustlowdurationglobalgovernmentbondadistusd,USD,2025-02-18,3,3,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust US Equity Income UCITS ETF,First Trust US Equity Income UCITS ETF Class D DIST,firsttrustusequityincomeddistgbp,GBP,2025-02-18,7,6,Week 3,False,False
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Vest Nasdaq-100® Moderate Buffer UCITS ETF - June,First Trust Vest Nasdaq-100® Moderate Buffer UCITS ETF - June Class A ACCU,firsttrustvestnasdaqmoderatebufferjuneaaccusd,USD,2025-02-18,4,5,Week 13,False,False
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Vest U.S. Equity Moderate Buffer UCITS ETF - February,First Trust Vest U.S. Equity Moderate Buffer UCITS ETF - February Class A ACCU,firsttrustvestusequitymoderatebufferfebruaryaaccusd,USD,2025-02-18,5,4,Week 4,False,False
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust US Equity Income UCITS ETF,First Trust US Equity Income UCITS ETF Class C ACCU,firsttrustusequityincomecaccusd,USD,2025-02-18,7,6,Week 3,False,False
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Nasdaq Cybersecurity UCITS ETF,First Trust Nasdaq Cybersecurity UCITS ETF Class C ACCU,firsttrustnasdaqcybersecuritycacceur,EUR,2025-02-18,7,6,Week 5,False,False
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Vest U.S. Equity Moderate Buffer UCITS ETF - May,First Trust Vest U.S. Equity Moderate Buffer UCITS ETF - May Class A ACCU,firsttrustvestusequitymoderatebuffermayaaccusd,USD,2025-02-18,4,4,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Vest Nasdaq-100® Moderate Buffer UCITS ETF - September,First Trust Vest Nasdaq-100® Moderate Buffer UCITS ETF - September Class A ACCU,firsttrustvestnasdaqmoderatebufferseptemberaaccusd,USD,2025-02-18,5,5,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust US Momentum UCITS ETF,First Trust US Momentum UCITS ETF Class A ACCU,firsttrustusmomentumaaccusd,USD,2025-02-18,6,6,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Indxx Global Aerospace & Defence UCITS ETF,First Trust Indxx Global Aerospace & Defence UCITS ETF Class A ACCU,firsttrustindxxglobalaerospacedefenceaaccusd,USD,2025-02-18,7,7,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Indxx Future Economy Metals UCITS ETF,First Trust Indxx Future Economy Metals UCITS ETF Class A ACCU,firsttrustindxxfutureeconomymetalsaaccusd,USD,2025-02-18,7,7,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Vest Nasdaq-100® Moderate Buffer UCITS ETF - December,First Trust Vest Nasdaq-100® Moderate Buffer UCITS ETF - December Class A ACCU,firsttrustvestnasdaqmoderatebufferdecemberaaccusd,USD,2025-02-18,5,5,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Vest U.S. Equity Moderate Buffer UCITS ETF - August,First Trust Vest U.S. Equity Moderate Buffer UCITS ETF - August Class A ACCU,firsttrustvestusequitymoderatebufferaugustaaccusd,USD,2025-02-18,4,4,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Bloomberg Global Semiconductor Supply Chain UCITS ETF,First Trust Bloomberg Global Semiconductor Supply Chain UCITS ETF Class A ACCU,firsttrustbloombergglobalsemiconductorsupplychainaaccusd,USD,2025-02-18,7,7,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Vest U.S. Equity Buffer UCITS ETF - January,First Trust Vest U.S. Equity Buffer UCITS ETF - January Class A ACCU,firsttrustvestusequitybufferjanuaryaaccusd,USD,2025-01-06,5,5,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Value Line® Dividend Index UCITS ETF,First Trust Value Line® Dividend Index UCITS ETF Class A ACCU,firsttrustvaluelinedividendindexaaccusd,USD,2024-11-11,6,5,Week 6,False,False
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust NYSE Arca Biotechnology UCITS ETF,First Trust NYSE Arca Biotechnology UCITS ETF Class A ACCU,firsttrustnysearcabiotechnologyaaccusd,USD,2024-11-11,6,6,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Vest U.S. Equity Moderate Buffer UCITS ETF - November,First Trust Vest U.S. Equity Moderate Buffer UCITS ETF - November Class A ACCU,firsttrustvestusequitymoderatebuffernovemberaaccusd,USD,2024-11-11,5,4,Week 2,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Low Duration Global Government Bond UCITS ETF,First Trust Low Duration Global Government Bond UCITS ETF Class C DIST,firsttrustlowdurationglobalgovernmentbondcdisteur,EUR,2024-11-11,3,3,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Low Duration Global Government Bond UCITS ETF,First Trust Low Duration Global Government Bond UCITS ETF Class B DIST,firsttrustlowdurationglobalgovernmentbondbdistgbp,GBP,2024-11-11,3,3,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Germany AlphaDEX® UCITS ETF,First Trust Germany AlphaDEX® UCITS ETF Class A DIST,firsttrustgermanyalphadexadisteur,EUR,2024-11-11,6,6,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust US Large Cap Core AlphaDEX® UCITS ETF,First Trust US Large Cap Core AlphaDEX® UCITS ETF Class B DIST,firsttrustuslargecapcorealphadexbdistusd,USD,2024-11-11,6,6,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Capital Strength UCITS ETF,First Trust Capital Strength UCITS ETF Class A ACCU,firsttrustcapitalstrengthaaccusd,USD,2024-11-11,6,5,Week 5,False,False
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Alerian Disruptive Technology Real Estate UCITS ETF,First Trust Alerian Disruptive Technology Real Estate UCITS ETF Class B DIST,firsttrustaleriandisruptivetechnologyrealestatebdistusd,USD,2024-11-11,6,6,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Indxx Innovative Transaction & Process UCITS ETF,First Trust Indxx Innovative Transaction & Process UCITS ETF Class A ACCU,firsttrustindxxinnovativetransactionprocessaaccusd,USD,2024-11-11,6,6,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Alerian Disruptive Technology Real Estate UCITS ETF,First Trust Alerian Disruptive Technology Real Estate UCITS ETF Class A ACCU,firsttrustaleriandisruptivetechnologyrealestateaaccusd,USD,2024-11-11,6,6,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Global Equity Income UCITS ETF,First Trust Global Equity Income UCITS ETF Class B DIST,firsttrustglobalequityincomebdistusd,USD,2024-11-11,6,6,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust FactorFX UCITS ETF,First Trust FactorFX UCITS ETF Class C EUR (Hedged) ACCU,firsttrustfactorfxchedgedacceureurhedged,EUR,2024-11-11,4,4,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust FactorFX UCITS ETF,First Trust FactorFX UCITS ETF Class B GBP (Hedged) ACCU,firsttrustfactorfxbhedgedaccgbpgbphedged,GBP,2024-11-11,4,4,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust FactorFX UCITS ETF,First Trust FactorFX UCITS ETF Class A USD ACCU,firsttrustfactorfxaaccusd,USD,2024-11-11,4,4,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Global Equity Income UCITS ETF,First Trust Global Equity Income UCITS ETF Class A ACCU,firsttrustglobalequityincomeaaccusd,USD,2024-11-11,6,6,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Eurozone AlphaDEX® UCITS ETF,First Trust Eurozone AlphaDEX® UCITS ETF Class A ACCU,firsttrustozonealphadexaacceur,EUR,2024-11-11,6,6,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Emerging Markets AlphaDEX® UCITS ETF,First Trust Emerging Markets AlphaDEX® UCITS ETF Class A ACCU,firsttrustemergingmarketsalphadexaaccusd,USD,2024-11-11,6,6,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust US Large Cap Core AlphaDEX® UCITS ETF,First Trust US Large Cap Core AlphaDEX® UCITS ETF Class A ACCU,firsttrustuslargecapcorealphadexaaccusd,USD,2024-11-11,6,6,None,True,True
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust SMID Rising Dividend Achievers UCITS ETF,First Trust SMID Rising Dividend Achievers UCITS ETF Class A ACCU,firsttrustsmidrisingdividendachieversaaccusd,USD,2024-11-11,7,6,Week 5,False,False
